CORBA POTÈNCIA fontajau febrer-juliol 2023
06/02/2023 18:00 77 kW (estiu=False)
06/02/2023 19:00 94 kW (estiu=False)
06/02/2023 20:00 97 kW (estiu=False)
06/02/2023 21:00 84 kW (estiu=False)
06/02/2023 22:00 84 kW (estiu=False)
06/02/2023 23:00 63 kW (estiu=False)
07/02/2023 00:00 52 kW (estiu=False)
07/02/2023 01:00 25 kW (estiu=False)
07/02/2023 02:00 26 kW (estiu=False)
07/02/2023 03:00 26 kW (estiu=False)
07/02/2023 04:00 26 kW (estiu=False)
07/02/2023 05:00 27 kW (estiu=False)
07/02/2023 06:00 26 kW (estiu=False)
07/02/2023 07:00 27 kW (estiu=False)
07/02/2023 08:00 43 kW (estiu=False)
07/02/2023 09:00 47 kW (estiu=False)
07/02/2023 10:00 79 kW (estiu=False)
07/02/2023 11:00 139 kW (estiu=False)
07/02/2023 12:00 142 kW (estiu=False)
07/02/2023 13:00 151 kW (estiu=False)
07/02/2023 14:00 114 kW (estiu=False)
07/02/2023 15:00 72 kW (estiu=False)
07/02/2023 16:00 55 kW (estiu=False)
07/02/2023 17:00 53 kW (estiu=False)
07/02/2023 18:00 79 kW (estiu=False)
07/02/2023 19:00 95 kW (estiu=False)
07/02/2023 20:00 104 kW (estiu=False)
07/02/2023 21:00 82 kW (estiu=False)
07/02/2023 22:00 66 kW (estiu=False)
07/02/2023 23:00 55 kW (estiu=False)
08/02/2023 00:00 43 kW (estiu=False)
08/02/2023 01:00 25 kW (estiu=False)
08/02/2023 02:00 24 kW (estiu=False)
08/02/2023 03:00 24 kW (estiu=False)
08/02/2023 04:00 23 kW (estiu=False)
08/02/2023 05:00 23 kW (estiu=False)
08/02/2023 06:00 23 kW (estiu=False)
08/02/2023 07:00 24 kW (estiu=False)
08/02/2023 08:00 40 kW (estiu=False)
08/02/2023 09:00 47 kW (estiu=False)
08/02/2023 10:00 85 kW (estiu=False)
08/02/2023 11:00 136 kW (estiu=False)
08/02/2023 12:00 170 kW (estiu=False)
08/02/2023 13:00 152 kW (estiu=False)
